date,stage_m,area_m2,depth_m
20160101,1097.47812,387404289.1,37.60957962
20160102,1097.423256,387020242,37.59208181
20160103,1097.377536,386700540.1,37.57722832
20160104,1097.31048,386231104.3,37.55583443
20160105,1097.258664,385880241.6,37.53819831
20160106,1097.206848,385545970.9,37.51891537
20160107,1097.167224,385290209.4,37.50412326
20160108,1097.1276,385034447.8,37.4893115
20160109,1097.100168,384857600.1,37.47929564
20160110,1097.08188,384739431.7,37.4725327
20160111,1097.039208,384464245.3,37.45668376
20160112,1096.993488,384169229.2,37.43953392
20160113,1096.950816,383893638,37.42367724
20160114,1096.899,383559367.4,37.40451621
20160115,1096.85328,383264351.3,37.38760757
20160116,1096.80756,382969335.2,37.37067287
20160117,1096.789272,382851166.9,37.36384304
20160118,1096.749648,382595810,37.34912597
20160119,1096.703928,382300793.9,37.33245461
20160120,1096.652112,381966118.6,37.31317338
20160121,1096.603344,381651677.6,37.29511305
20160122,1096.56372,381395916,37.28066664
20160123,1096.521048,381120729.5,37.26486378
20160124,1096.493616,380943477.1,37.2546804
20160125,1096.450944,380668290.6,37.23883996
20160126,1096.402176,380353444.9,37.22102046
20160127,1096.359504,380078258.4,37.20513106
20160128,1096.310736,379763412.7,37.18725592
20160129,1096.255872,379409312.4,37.16701974
20160130,1096.246728,379350633,37.16366452
20160131,1096.237584,379291548.8,37.16034792
20160201,1096.191864,378996532.7,37.14338426
20160202,1096.16748,378839109.9,37.13472482
20160203,1096.146144,378701516.6,37.12671989
20160204,1096.124808,378563923.4,37.11870913
20160205,1096.100424,378406500.5,37.11002953
20160206,1096.07604,378249077.7,37.1010166
20160207,1096.057752,378130909.4,37.09434345
20160208,1096.024224,377914807,37.08193676
20160209,1095.990696,377698300,37.0695556
20160210,1095.957168,377482197.7,37.05744727
20160211,1095.926688,377285520.3,37.04603323
20160212,1095.896208,377088842.9,37.0349344
20160213,1095.87792,376970674.6,37.02822
20160214,1095.868776,376911590.4,37.02486122
20160215,1095.838296,376714913.1,37.01374031
20160216,1095.81696,376577319.8,37.00597357
20160217,1095.789528,376400472,36.99583329
20160218,1095.759048,376203794.6,36.9846821
20160219,1095.722472,375967458,36.97151395
20160220,1095.716376,375928203.5,36.96914033
20160221,1095.71028,375888948.9,36.96709436
20160222,1095.6798,375692271.5,36.95591294
20160223,1095.658464,375554678.3,36.94810386
20160224,1095.643224,375456339.6,36.94266893
20160225,1095.627984,375358000.9,36.93690254
20160226,1095.612744,375259662.2,36.93146182
20160227,1095.591408,375122069,36.92363477
20160228,1095.597504,375161323.5,36.92568947
20160229,1095.576168,375023730.3,36.91818715
20160301,1095.560928,374925391.6,36.91240768
20160302,1095.551784,374866307.4,36.90901232
20160303,1095.533496,374748139.1,36.90254754
20160304,1095.524352,374689054.9,36.89914902
20160305,1095.49692,374512207.2,36.88923653
20160306,1095.490824,374472952.6,36.88684505
20160307,1095.484728,374433698.1,36.88478251
20160308,1095.463392,374295700.1,36.87696089
20160309,1095.439008,374138682,36.86804067
20160310,1095.411576,373961429.5,36.85813876
20160311,1095.393288,373843665.9,36.85127241
20160312,1095.378048,373745327.2,36.84578712
20160313,1095.365856,373666413.4,36.84135473
20160314,1095.350616,373568074.7,36.83586423
20160315,1095.317088,373351972.4,36.82381706
20160316,1095.286608,373155295,36.81248411
20160317,1095.265272,373017297.1,36.80493962
20160318,1095.240888,372860278.9,36.79595849
20160319,1095.216504,372702856,36.78700973
20160320,1095.201264,372604517.4,36.78149068
20160321,1095.170784,372407840,36.77044385
20160322,1095.134208,372171908,36.75729681
20160323,1095.103728,371975230.6,36.74622434
20160324,1095.0702,371758723.6,36.73411344
20160325,1095.051912,371640555.3,36.72753899
20160326,1095.00924,371365368.8,36.71190756
20160327,1095.000096,371306284.7,36.70877995
20160328,1094.954376,371011268.6,36.6920895
20160329,1094.94828,370972014,36.6899871
20160330,1094.905608,370696827.5,36.67463235
20160331,1094.896464,370637743.4,36.67116035
20160401,1094.85684,370381981.8,36.65685258
20160402,1094.835504,370244388.6,36.64915352
20160403,1094.814168,370106795.4,36.64144872
20160404,1094.783688,369910118,36.63058629
20160405,1094.744064,369654356.4,36.61622229
20160406,1094.716632,369477103.9,36.60641324
20160407,1094.686152,369280426.5,36.5951796
20160408,1094.655672,369083749.2,36.58426819
20160409,1094.640432,368985410.5,36.57864098
20160410,1094.634336,368946155.9,36.57651496
20160411,1094.613,368808562.7,36.56875595
20160412,1094.59776,368710224,36.56345494
20160413,1094.59776,368710224,36.56345494
20160414,1094.594712,368690394.4,36.56241045
20160415,1094.579472,368592055.7,36.5567714
20160416,1094.600808,368730053.6,36.56449932
20160417,1094.603856,368749478.5,36.56558371
20160418,1094.616048,368828392.3,36.57013419
20160419,1094.64348,369005240.1,36.58001803
20160420,1094.670912,369182087.8,36.5898924
20160421,1094.695296,369339510.7,36.59867651
20160422,1094.722728,369516763.2,36.60849293
20160423,1094.741016,369634526.8,36.6151833
20160424,1094.753208,369713440.6,36.61937867
20160425,1094.759304,369752695.1,36.62149573
20160426,1094.753208,369713440.6,36.61937867
20160427,1094.777592,369870458.7,36.62817769
20160428,1094.783688,369910118,36.63058629
20160429,1094.823312,370165474.8,36.64463728
20160430,1094.878176,370519575.1,36.66454593
20160501,1094.920848,370795166.2,36.67987547
20160502,1094.954376,371011268.6,36.6920895
20160503,1094.987904,371227775.6,36.70424929
20160504,1095.018384,371424453,36.71536628
20160505,1095.018384,371424453,36.71536628
20160506,1095.021432,371443877.9,36.71643492
20160507,1095.03972,371562046.2,36.72301638
20160508,1095.067152,371738894,36.73308662
20160509,1095.109824,372014485.2,36.74831514
20160510,1095.182976,372486349,36.77494619
20160511,1095.240888,372860278.9,36.79595849
20160512,1095.332328,373450311.1,36.82931392
20160513,1095.4512,374217191.1,36.87250172
20160514,1095.570072,374984071,36.91584181
20160515,1095.722472,375967458,36.97151395
